----- POSITION COMMAND -----
16.33	-0.00	-0.00	1.18
t(s)	x(m)	y(m)	z(m)	vx(m/s)	vy(m/s)	vz(m/s)
41.7 1.00 -0.12 1.18 0.00 0.35 0.01
41.12 1.00 -0.11 1.18 0.00 0.36 0.01
41.17 1.00 -0.09 1.18 0.00 0.36 0.01
41.22 1.00 -0.07 1.19 0.00 0.35 0.01
41.27 1.00 -0.05 1.19 0.00 0.34 0.01
41.32 1.00 -0.04 1.19 0.00 0.33 0.01
41.37 1.00 -0.02 1.19 0.00 0.31 0.01
41.42 1.00 -0.01 1.19 0.00 0.30 0.01
41.47 1.00 0.01 1.19 0.00 0.28 0.01
41.52 1.00 0.02 1.19 0.00 0.26 0.00
41.57 1.00 0.03 1.19 0.00 0.24 0.00
41.62 1.00 0.05 1.19 0.00 0.21 0.00
41.67 1.00 0.06 1.19 0.00 0.19 0.00
41.72 1.00 0.06 1.19 0.00 0.16 0.00
41.77 1.00 0.07 1.19 0.00 0.14 0.00
41.82 1.00 0.08 1.19 0.00 0.12 -0.00
41.87 1.00 0.08 1.19 0.00 0.09 -0.00
41.92 1.00 0.09 1.19 0.00 0.07 -0.00
41.97 1.00 0.09 1.19 0.00 0.05 -0.00
42.2 1.00 0.09 1.19 -0.00 0.03 -0.00
42.7 1.00 0.09 1.19 -0.00 0.01 -0.00
